File Name                     	['་འི་  ', '་འི་_original']	['་ས་   ', '་ས་_original']	['་ར་   ', '་ར་_original']	['་འི།  ', '་འི།_original']	['་ས།   ', '་ས།_original']	['་ར།   ', '་ར།_original']
TM2SPL_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMZKP0_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3567-bo.txt                 	['0     ', '0     ']	['45    ', '45    ']	['6     ', '6     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TM0581-bo.txt                 	['0     ', '0     ']	['26    ', '26    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMGL6M_LH-bo.txt              	['0     ', '0     ']	['7     ', '7     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2930-bo.txt                 	['0     ', '0     ']	['5     ', '5     ']	['8     ', '8     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMP91Y_LH-bo.txt              	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMUVBT_LH-bo.txt              	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0718-v2-bo.txt              	['1199  ', '1199  ']	['435   ', '435   ']	['51    ', '51    ']	['19    ', '19    ']	['14    ', '14    ']	['1     ', '1     ']
TMQEB7_LH-bo.txt              	['0     ', '0     ']	['9     ', '9     ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMS7VN_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0493-bo.txt                 	['0     ', '0     ']	['212   ', '212   ']	['1     ', '1     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TM0098-bo.txt                 	['0     ', '0     ']	['557   ', '557   ']	['25    ', '25    ']	['0     ', '0     ']	['2     ', '2     ']	['1     ', '1     ']
TMK0E3_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2173-bo.txt                 	['0     ', '0     ']	['320   ', '320   ']	['5     ', '5     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TM2758-bo.txt                 	['0     ', '0     ']	['41    ', '41    ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMHNC4_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMMKFF_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM21EF_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0783-bo.txt                 	['0     ', '0     ']	['23    ', '23    ']	['9     ', '9     ']	['0     ', '0     ']	['1     ', '1     ']	['1     ', '1     ']
TM67PF_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2148-bo.txt                 	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0701-bo.txt                 	['345   ', '345   ']	['379   ', '379   ']	['157   ', '157   ']	['20    ', '20    ']	['77    ', '77    ']	['12    ', '12    ']
TMTPT0_LH-bo.txt              	['0     ', '0     ']	['9     ', '9     ']	['1     ', '1     ']	['2     ', '2     ']	['2     ', '2     ']	['0     ', '0     ']
TM8BSV_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2040-bo.txt                 	['11    ', '11    ']	['18    ', '18    ']	['12    ', '12    ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']
TM1925-bo.txt                 	['0     ', '0     ']	['15    ', '15    ']	['10    ', '10    ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMtoh505a_84000-bo.txt        	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0669-bo.txt                 	['0     ', '0     ']	['18    ', '18    ']	['19    ', '19    ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']
TMC8NK_LH-bo.txt              	['0     ', '0     ']	['5     ', '5     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2232-bo.txt                 	['0     ', '0     ']	['22    ', '22    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3544-bo.txt                 	['0     ', '0     ']	['169   ', '169   ']	['46    ', '46    ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMtoh549_84000-bo.txt         	['0     ', '0     ']	['0     ', '0     ']	['5     ', '5     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMN689_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3045-bo.txt                 	['0     ', '0     ']	['208   ', '208   ']	['12    ', '12    ']	['0     ', '0     ']	['0     ', '0     ']	['2     ', '2     ']
TMG050_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMCAW1_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMWK69_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2714-bo.txt                 	['0     ', '0     ']	['24    ', '24    ']	['14    ', '14    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0755-bo.txt                 	['59    ', '59    ']	['44    ', '44    ']	['47    ', '47    ']	['0     ', '0     ']	['1     ', '1     ']	['3     ', '3     ']
TM0713-bo.txt                 	['937   ', '937   ']	['466   ', '466   ']	['272   ', '272   ']	['6     ', '6     ']	['39    ', '39    ']	['10    ', '10    ']
TMC3EQ_LH-bo.txt              	['0     ', '0     ']	['8     ', '8     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMG8IL_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMS7I3_LH-bo.txt              	['0     ', '0     ']	['23    ', '23    ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMFRVS_LH-bo.txt              	['0     ', '0     ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMEG6V_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3210-bo.txt                 	['0     ', '0     ']	['11    ', '11    ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
